コード,銘柄名,順位
4422.T,ＶＡＬＵＥＮＥＸ,1
5380.T,新東,2
9408.T,ＢＳＮメディアホールディングス,3
7673.T,ダイコー通産,4
6396.T,宇野澤組鐵工所,5
4287.T,ジャストプランニング,6
4465.T,ニイタカ,7
7877.T,永大化工,8
1430.T,ファーストコーポレーション,9
9906.T,藤井産業,10
1788.T,三東工業社,11
5867.T,エスネットワークス,12
7619.T,田中商事,13
5575.T,Ｇｌｏｂｅｅ,14
6035.T,アイ・アールジャパンホールディングス,15
9791.T,ビケンテクノ,16
9165.T,クオルテック,17
8291.T,日産東京販売ホールディングス,18
5103.T,昭和ホールディングス,19
9780.T,ハリマビステム,20
5580.T,プロディライト,21
3612.T,ワールド,22
4320.T,ＣＥホールディングス,23
5271.T,トーヨーアサノ,24
5858.T,ＳＴＧ,25
3284.T,フージャースホールディングス,26
8147.T,トミタ,27
3955.T,イムラ,28
1764.T,工藤建設,29
4994.T,大成ラミックグループ,30
7979.T,松風,31
8617.T,光世証券,32
7128.T,ユニソルホールディングス,33
5889.T,Ｊａｐａｎ　Ｅｙｅｗｅａｒ　Ｈｏｌｄｉｎｇｓ,34
4920.T,日本色材工業研究所,35
6419.T,マースグループホールディングス,36
6989.T,北陸電気工業,37
167A.T,リョーサン菱洋ホールディングス,38
7893.T,プロネクサス,39
9262.T,シルバーライフ,40
4378.T,ＣＩＮＣ,41
2153.T,Ｅ・Ｊホールディングス,42
7239.T,タチエス,43
7278.T,エクセディ,44
9365.T,トレーディア,45
4772.T,ＳＭ　ＥＮＴＥＲＴＡＩＮＭＥＮＴ　ＪＡＰＡＮ,46
297A.T,アルピコホールディングス,47
4765.T,ＳＢＩグローバルアセットマネジメント,48
3320.T,クロスプラス,49
2916.T,仙波糖化工業,50
7925.T,前澤化成工業,51
2475.T,ＷＤＢホールディングス,52
5658.T,日亜鋼業,53
6306.T,日工,54
9856.T,ケーユーホールディングス,55
3294.T,イーグランド,56
9401.T,ＴＢＳホールディングス,57
8129.T,東邦ホールディングス,58
9273.T,コーア商事ホールディングス,59
4619.T,日本特殊塗料,60
7483.T,ドウシシャ,61
3271.T,ＴＨＥグローバル社,62
2154.T,オープンアップグループ,63
6074.T,ジェイエスエス,64
2664.T,カワチ薬品,65
9023.T,東京地下鉄,66
9008.T,京王電鉄,67
9274.T,ＫＰＰグループホールディングス,68
8185.T,チヨダ,69
3131.T,シンデン・ハイテックス,70
5946.T,長府製作所,71
7305.T,新家工業,72
7463.T,アドヴァングループ,73
6157.T,日進工具,74
7593.T,ＶＴホールディングス,75
3232.T,三重交通グループホールディングス,76
6342.T,太平製作所,77
6413.T,理想科学工業,78
2212.T,山崎製パン,79
7856.T,萩原工業,80
6382.T,トリニティ工業,81
8793.T,ＮＥＣキャピタルソリューション,82
6489.T,前澤工業,83
8076.T,カノークス,84
7820.T,ニホンフラッシュ,85
8771.T,イー・ギャランティ,86
6239.T,ナガオカ,87
8596.T,九州リースサービス,88
7299.T,フジオーゼックス,89
6294.T,オカダアイヨン,90
8289.T,Ｏｌｙｍｐｉｃグループ,91
3154.T,メディアスホールディングス,92
6272.T,レオン自動機,93
8101.T,ＧＳＩクレオス,94
3107.T,ダイワボウホールディングス,95
8198.T,マックスバリュ東海,96
8052.T,椿本興業,97
9202.T,ＡＮＡホールディングス,98
6282.T,オイレス工業,99
8584.T,ジャックス,100
8801.T,三井不動産,101
1882.T,東亜道路工業,102
9622.T,スペース,103
6737.T,ＥＩＺＯ,104
8566.T,リコーリース,105
5976.T,高周波熱錬,106
2613.T,Ｊ－オイルミルズ,107
5949.T,ユニプレス,108
7914.T,共同印刷,109
9022.T,東海旅客鉄道,110
4613.T,関西ペイント,111
8425.T,みずほリース,112
9882.T,イエローハット,113
4534.T,持田製薬,114
8016.T,オンワードホールディングス,115
2924.T,イフジ産業,116
8081.T,カナデン,117
3191.T,ジョイフル本田,118
6371.T,椿本チエイン,119
5363.T,東京窯業,120
8881.T,日神グループホールディングス,121
1981.T,協和日成,122
8160.T,木曽路,123
9757.T,船井総研ホールディングス,124
9832.T,オートバックスセブン,125
6919.T,ケル,126
7840.T,フランスベッドホールディングス,127
8095.T,アステナホールディングス,128
7607.T,進和,129
8091.T,ニチモウ,130
8281.T,ゼビオホールディングス,131
3501.T,ＳＵＭＩＮＯＥ,132
2875.T,東洋水産,133
8439.T,東京センチュリー,134
2053.T,中部飼料,135
8725.T,ＭＳ＆ＡＤインシュアランスグループホールディングス,136
2301.T,学情,137
6059.T,ウチヤマホールディングス,138
5988.T,パイオラックス,139
8043.T,スターゼン,140
9533.T,東邦瓦斯,141
8572.T,アコム,142
9304.T,澁澤倉庫,143
4526.T,理研ビタミン,144
2296.T,伊藤ハム米久ホールディングス,145
7949.T,小松ウオール工業,146
7508.T,Ｇ‐７ホールディングス,147
6062.T,チャーム・ケア・コーポレーション,148
6929.T,日本セラミック,149
9060.T,日本ロジテム,150
3109.T,シキボウ,151
2359.T,コア,152
3002.T,グンゼ,153
2004.T,昭和産業,154
9716.T,乃村工藝社,155
7313.T,テイ・エス　テック,156
4825.T,ウェザーニューズ,157
2109.T,ＤＭ三井製糖,158
8613.T,丸三証券,159
7420.T,佐鳥電機,160
2146.T,ＵＴグループ,161
2282.T,日本ハム,162
9987.T,スズケン,163
8219.T,青山商事,164
5970.T,ジーテクト,165
2784.T,アルフレッサ　ホールディングス,166
5076.T,インフロニア・ホールディングス,167
8850.T,スターツコーポレーション,168
9001.T,東武鉄道,169
7438.T,コンドーテック,170
1301.T,極洋,171
5195.T,バンドー化学,172
4404.T,ミヨシ油脂,173
9218.T,メンタルヘルステクノロジーズ,174
9686.T,東洋テック,175
2292.T,Ｓ　Ｆｏｏｄｓ,176
4732.T,ユー・エス・エス,177
5933.T,アルインコ,178
4490.T,ビザスク,179
1929.T,日特建設,180
3048.T,ビックカメラ,181
8877.T,エスリード,182
9163.T,ナレルグループ,183
9037.T,ハマキョウレックス,184
7987.T,ナカバヤシ,185
4094.T,日本化学産業,186
3946.T,トーモク,187
6381.T,アネスト岩田,188
3156.T,レスター,189
3231.T,野村不動産ホールディングス,190
7388.T,ＦＰパートナー,191
3877.T,中越パルプ工業,192
7595.T,アルゴグラフィックス,193
5279.T,日本興業,194
9029.T,ヒガシホールディングス,195
2168.T,パソナグループ,196
9007.T,小田急電鉄,197
7504.T,高速,198
9628.T,燦ホールディングス,199
6349.T,小森コーポレーション,200
7096.T,ステムセル研究所,201
8511.T,日本証券金融,202
7886.T,ヤマト　モビリティ　＆　Ｍｆｇ．,203
324A.T,ブッキングリゾート,204
6070.T,キャリアリンク,205
6718.T,アイホン,206
3560.T,ほぼ日,207
7730.T,マニー,208
7971.T,東リ,209
9900.T,サガミホールディングス,210
2733.T,あらた,211
6345.T,アイチ　コーポレーション,212
7751.T,キヤノン,213
8137.T,サンワテクノス,214
2819.T,エバラ食品工業,215
4694.T,ビー・エム・エル,216
3001.T,片倉工業,217
5185.T,フコク,218
4927.T,ポーラ・オルビスホールディングス,219
7952.T,河合楽器製作所,220
6902.T,デンソー,221
4439.T,東名,222
9629.T,ピー・シー・エー,223
7277.T,ＴＢＫ,224
1852.T,淺沼組,225
3086.T,Ｊ．フロント　リテイリング,226
7039.T,ブリッジインターナショナルグループ,227
8007.T,高島,228
2602.T,日清オイリオグループ,229
7417.T,南陽,230
3139.T,ラクト・ジャパン,231
2211.T,不二家,232
4301.T,アミューズ,233
3204.T,トーア紡コーポレーション,234
7458.T,第一興商,235
5391.T,エーアンドエーマテリアル,236
8005.T,スクロール,237
3495.T,香陵住販,238
6995.T,東海理化電機製作所,239
9885.T,シャルレ,240
5463.T,丸一鋼管,241
4218.T,ニチバン,242
4540.T,ツムラ,243
8772.T,アサックス,244
5440.T,共英製鋼,245
4559.T,ゼリア新薬工業,246
3050.T,ＤＣＭホールディングス,247
3539.T,ＪＭホールディングス,248
8999.T,グランディハウス,249
8125.T,ワキタ,250
8593.T,三菱ＨＣキャピタル,251
3452.T,ビーロット,252
9065.T,山九,253
